,Totals,Totals,Totals,Totals,Totals,Totals,Averages,Averages,Averages,Averages,Averages,Averages,Goal Ratio
,Dortmund Home Goals,Opp Away Goals,Dortmund Away Goals,Opp Home Goals,Total for,Total against,Dortmund Home Goals,Opp Away Goals,Dortmund Away Goals,Opp Home Goals,Total for,Total against,
SeasonTo,,,,,,,,,,,,,
1982.0,38.0,21.0,21.0,19.0,59.0,40.0,1.1176470588235294,0.6176470588235294,0.6176470588235294,0.5588235294117647,1.7352941176470589,1.1764705882352942,1.475
1983.0,53.0,28.0,25.0,34.0,78.0,62.0,1.5588235294117647,0.8235294117647058,0.7352941176470589,1.0,2.2941176470588234,1.8235294117647058,1.2580645161290323
1984.0,35.0,17.0,19.0,48.0,54.0,65.0,1.0294117647058822,0.5,0.5588235294117647,1.411764705882353,1.588235294117647,1.911764705882353,0.8307692307692308
1985.0,32.0,21.0,19.0,44.0,51.0,65.0,0.9411764705882353,0.6176470588235294,0.5588235294117647,1.2941176470588236,1.5,1.911764705882353,0.7846153846153846
1986.0,34.0,24.0,15.0,41.0,49.0,65.0,1.0,0.7058823529411765,0.4411764705882353,1.2058823529411764,1.4411764705882353,1.911764705882353,0.7538461538461538
1987.0,40.0,17.0,30.0,33.0,70.0,50.0,1.1764705882352942,0.5,0.8823529411764706,0.9705882352941176,2.0588235294117645,1.4705882352941178,1.4
1988.0,30.0,26.0,21.0,28.0,51.0,54.0,0.8823529411764706,0.7647058823529411,0.6176470588235294,0.8235294117647058,1.5,1.588235294117647,0.9444444444444444
1989.0,35.0,20.0,21.0,20.0,56.0,40.0,1.0294117647058822,0.5882352941176471,0.6176470588235294,0.5882352941176471,1.6470588235294117,1.1764705882352942,1.4
1990.0,28.0,8.0,23.0,27.0,51.0,35.0,0.8235294117647058,0.23529411764705882,0.6764705882352942,0.7941176470588235,1.5,1.0294117647058822,1.457142857142857
1991.0,22.0,27.0,24.0,30.0,46.0,57.0,0.6470588235294118,0.7941176470588235,0.7058823529411765,0.8823529411764706,1.3529411764705883,1.6764705882352942,0.8070175438596491
1992.0,44.0,18.0,22.0,29.0,66.0,47.0,1.1578947368421053,0.47368421052631576,0.5789473684210527,0.7631578947368421,1.736842105263158,1.236842105263158,1.4042553191489362
1993.0,41.0,18.0,20.0,25.0,61.0,43.0,1.2058823529411764,0.5294117647058824,0.5882352941176471,0.7352941176470589,1.7941176470588236,1.2647058823529411,1.4186046511627908
1994.0,35.0,15.0,14.0,30.0,49.0,45.0,1.0294117647058822,0.4411764705882353,0.4117647058823529,0.8823529411764706,1.4411764705882353,1.3235294117647058,1.0888888888888888
1995.0,35.0,13.0,32.0,20.0,67.0,33.0,1.0294117647058822,0.38235294117647056,0.9411764705882353,0.5882352941176471,1.9705882352941178,0.9705882352941176,2.0303030303030303
1996.0,45.0,14.0,31.0,24.0,76.0,38.0,1.3235294117647058,0.4117647058823529,0.9117647058823529,0.7058823529411765,2.235294117647059,1.1176470588235294,2.0
1997.0,38.0,13.0,25.0,28.0,63.0,41.0,1.1176470588235294,0.38235294117647056,0.7352941176470589,0.8235294117647058,1.8529411764705883,1.2058823529411764,1.5365853658536586
1998.0,36.0,25.0,21.0,30.0,57.0,55.0,1.0588235294117647,0.7352941176470589,0.6176470588235294,0.8823529411764706,1.6764705882352942,1.6176470588235294,1.0363636363636364
1999.0,35.0,10.0,13.0,24.0,48.0,34.0,1.0294117647058822,0.29411764705882354,0.38235294117647056,0.7058823529411765,1.411764705882353,1.0,1.411764705882353
2000.0,21.0,21.0,20.0,17.0,41.0,38.0,0.6176470588235294,0.6176470588235294,0.5882352941176471,0.5,1.2058823529411764,1.1176470588235294,1.0789473684210527
2001.0,34.0,20.0,28.0,22.0,62.0,42.0,1.0,0.5882352941176471,0.8235294117647058,0.6470588235294118,1.8235294117647058,1.2352941176470589,1.4761904761904763
