Hawks,Nets,Celtics,Hornets,Bulls,Cavaliers,Mavericks,Nuggets,Pistons,Warriors,Rockets,Pacers,Clippers,Lakers,Grizzlies,Heat,Bucks,Timberwolves,Pelicans,Knicks,Thunder,Magic,76ers,Suns,Trail Blazers,Kings,Spurs,Raptors,Jazz,Wizards
0.6362300000000001,0.46476999999999996,0.45678,0.50162,0.50045,0.55056,0.55001,0.43453,0.44535,0.69819,0.59591,0.4105,0.59365,0.4264,0.61287,0.51918,0.54823,0.32659,0.54205,0.33662,0.55276,0.40176,0.26471999999999996,0.52972,0.52481,0.45731000000000005,0.58875,0.56283,0.39455,0.5802
0.64583,0.44831000000000004,0.45645,0.49451000000000006,0.51178,0.53978,0.55091,0.43716000000000005,0.45902,0.71048,0.58933,0.40451,0.59441,0.42403,0.62552,0.51813,0.54542,0.33698,0.53967,0.32848,0.55758,0.39387,0.26892,0.5283800000000001,0.51758,0.44783,0.58243,0.57901,0.39479000000000003,0.5769
0.6530199999999999,0.43876000000000004,0.45256,0.49506999999999995,0.52817,0.53865,0.54678,0.4341,0.46223000000000003,0.7129,0.58923,0.40404,0.6020300000000001,0.41827,0.63398,0.52568,0.54909,0.31887,0.53463,0.32558000000000004,0.56067,0.39976,0.26749,0.51991,0.5210899999999999,0.44833999999999996,0.56542,0.57212,0.39418000000000003,0.59431
0.6662600000000001,0.43951999999999997,0.45059,0.49436,0.52104,0.5261100000000001,0.5534899999999999,0.43216000000000004,0.45579,0.72082,0.59497,0.40389,0.6117100000000001,0.40484000000000003,0.6279600000000001,0.52754,0.55671,0.31634,0.52773,0.32101,0.55977,0.38301,0.27125,0.5320199999999999,0.5081399999999999,0.44143999999999994,0.57606,0.59849,0.3946,0.5909399999999999
0.66367,0.43323999999999996,0.44908000000000003,0.48523,0.51034,0.52965,0.55153,0.44051999999999997,0.46032,0.71602,0.6072,0.4096,0.61431,0.38505,0.6249600000000001,0.5212600000000001,0.57412,0.31686,0.52796,0.31465,0.57222,0.38529,0.27421999999999996,0.53261,0.5130399999999999,0.41818,0.58082,0.60936,0.39450999999999997,0.5915199999999999
0.68585,0.42478999999999995,0.44359,0.48351000000000005,0.52609,0.5304,0.55213,0.45119,0.45683999999999997,0.72728,0.62039,0.41173999999999994,0.62093,0.36776,0.64685,0.49971000000000004,0.55999,0.28702,0.5234800000000001,0.30546,0.5816,0.36791999999999997,0.26929000000000003,0.5221399999999999,0.52769,0.40921,0.57484,0.62889,0.40251,0.59812
0.68545,0.42033000000000004,0.45642,0.48134,0.5202399999999999,0.5413899999999999,0.5483399999999999,0.44041,0.45124,0.73143,0.61637,0.42167,0.6167600000000001,0.36003,0.6291399999999999,0.47301000000000004,0.5687399999999999,0.28121999999999997,0.52187,0.31201999999999996,0.57522,0.37472,0.27021999999999996,0.52388,0.53447,0.41348999999999997,0.58245,0.62883,0.4185,0.6071300000000001
0.68699,0.41381,0.44919,0.48476,0.51742,0.55032,0.5433899999999999,0.43495,0.45616999999999996,0.73987,0.61843,0.42668,0.60502,0.35364,0.64682,0.45751000000000003,0.57382,0.28738,0.52653,0.31205,0.5663100000000001,0.36093000000000003,0.27705,0.5098199999999999,0.54699,0.40713,0.58189,0.63349,0.43982,0.5988600000000001
0.69889,0.41389,0.4477,0.48863,0.51572,0.54464,0.5541699999999999,0.43038000000000004,0.45587,0.74419,0.6271800000000001,0.42552,0.60456,0.33788,0.64841,0.45119,0.58925,0.27321999999999996,0.523,0.30928,0.57744,0.34964,0.26861999999999997,0.5160100000000001,0.5400699999999999,0.38018,0.59516,0.65383,0.44356999999999996,0.59921
0.70126,0.40248,0.45028999999999997,0.47121,0.50736,0.5544100000000001,0.5584600000000001,0.42277,0.46334,0.75492,0.6401,0.425,0.6061300000000001,0.32808000000000004,0.65086,0.43956999999999996,0.60444,0.27268000000000003,0.52361,0.31292,0.5612,0.35416,0.25784,0.5281899999999999,0.55397,0.38543,0.59458,0.6584399999999999,0.42433000000000004,0.59855
0.70873,0.39898,0.42788000000000004,0.48139,0.52464,0.57112,0.55719,0.43772,0.44568,0.75873,0.6630199999999999,0.43973999999999996,0.58813,0.3151,0.6522,0.43959,0.59225,0.2597,0.52418,0.30746999999999997,0.53668,0.35101,0.25956999999999997,0.54672,0.5513100000000001,0.39397,0.6092,0.64669,0.41862,0.5988
0.71627,0.40743,0.41242,0.46885,0.5373100000000001,0.57235,0.5659,0.43321000000000004,0.43682,0.75017,0.6673899999999999,0.44431000000000004,0.59802,0.29939,0.64286,0.44415,0.59964,0.24388,0.53354,0.30769,0.54343,0.36046,0.25492,0.5525800000000001,0.57455,0.38855,0.6121,0.64405,0.40634000000000003,0.5855
0.73074,0.41453,0.4099,0.4652,0.54208,0.56008,0.55897,0.43965,0.43356999999999996,0.7419,0.67503,0.44628999999999996,0.57955,0.31001999999999996,0.64077,0.45183999999999996,0.5978899999999999,0.24494000000000002,0.55043,0.30706999999999995,0.53161,0.34936999999999996,0.25248000000000004,0.54686,0.58539,0.38981,0.6177699999999999,0.65365,0.38745,0.5907600000000001
0.74168,0.42483999999999994,0.39759,0.4638,0.5507,0.56128,0.5561699999999999,0.43666000000000005,0.42028000000000004,0.74373,0.67291,0.45416000000000006,0.60137,0.32272,0.6544,0.44423999999999997,0.59742,0.24241999999999997,0.53668,0.29843000000000003,0.52505,0.32468,0.26361,0.54771,0.60163,0.38358000000000003,0.62611,0.6514800000000001,0.37937,0.58128
0.76403,0.42403,0.41533000000000003,0.44927,0.55343,0.56917,0.56061,0.42163,0.41708,0.74759,0.67262,0.43793000000000004,0.61858,0.31154,0.65614,0.44705,0.5938,0.23367,0.52674,0.2728,0.5421199999999999,0.32018,0.25132,0.54283,0.6072,0.38299,0.63115,0.65718,0.37572,0.60136
0.7803399999999999,0.44106000000000006,0.42298,0.45588999999999996,0.53974,0.5768800000000001,0.57536,0.42695,0.39904,0.74415,0.65435,0.42011000000000004,0.62378,0.28615,0.66238,0.45264,0.5737399999999999,0.24958000000000002,0.52573,0.25048000000000004,0.56238,0.3219,0.23938,0.5478,0.6154,0.39247,0.63321,0.65413,0.38528,0.59199
0.78955,0.43498000000000003,0.41763999999999996,0.44461000000000006,0.54905,0.57877,0.58625,0.41268999999999995,0.40774,0.7691600000000001,0.65194,0.40418000000000004,0.6417,0.285,0.6591100000000001,0.45918000000000003,0.55655,0.25058,0.52204,0.23738,0.55633,0.30685999999999997,0.22987,0.55691,0.64679,0.3966,0.6412800000000001,0.6511100000000001,0.39576999999999996,0.56716
0.79571,0.40266,0.43213999999999997,0.44333,0.55394,0.5756,0.58613,0.40941,0.39549,0.78697,0.6410899999999999,0.39421999999999996,0.6449600000000001,0.30485,0.6713600000000001,0.46485,0.5621,0.258,0.50877,0.23506,0.54175,0.29496999999999995,0.22357,0.56634,0.6764100000000001,0.37638,0.65376,0.64425,0.39115,0.57329
0.8163199999999999,0.39979000000000003,0.39493,0.42749,0.5888899999999999,0.57393,0.61335,0.41547,0.38524,0.78685,0.60263,0.40996000000000005,0.64142,0.28520999999999996,0.6936399999999999,0.45793,0.5314399999999999,0.23478000000000002,0.5311600000000001,0.2153,0.54928,0.29846999999999996,0.23343000000000003,0.59005,0.68548,0.37943000000000005,0.6443300000000001,0.6385,0.38618,0.5917600000000001
0.83095,0.4182,0.39146,0.40301,0.62055,0.59438,0.60975,0.38464,0.37677,0.8166800000000001,0.63115,0.41358999999999996,0.6421399999999999,0.25419,0.6855899999999999,0.43486,0.52595,0.24404,0.50918,0.23758,0.54605,0.2664,0.24306999999999998,0.6141399999999999,0.6552600000000001,0.34526,0.69058,0.67018,0.3431,0.6028899999999999
0.80556,0.42308,0.41176,0.40196,0.63889,0.59091,0.6090899999999999,0.39623,0.39815,0.82,0.63462,0.40741,0.63889,0.24528000000000003,0.70755,0.43137,0.5471699999999999,0.22641999999999998,0.5283,0.22115,0.5283,0.28570999999999996,0.22641999999999998,0.58491,0.65385,0.33654,0.66981,0.67308,0.35849000000000003,0.60185
