,Totals,Totals,Totals,Totals,Totals,Totals,Averages,Averages,Averages,Averages,Averages,Averages,Goal Ratio
,Bayern Home Goals,Opp Away Goals,Bayern Away Goals,Opp Home Goals,Total for,Total against,Bayern Home Goals,Opp Away Goals,Bayern Away Goals,Opp Home Goals,Total for,Total against,
SeasonTo,,,,,,,,,,,,,
1986.0,58.0,14.0,24.0,17.0,82.0,31.0,1.7058823529411764,0.4117647058823529,0.7058823529411765,0.5,2.411764705882353,0.9117647058823529,2.6451612903225805
1987.0,41.0,14.0,26.0,17.0,67.0,31.0,1.2058823529411764,0.4117647058823529,0.7647058823529411,0.5,1.9705882352941178,0.9117647058823529,2.161290322580645
1988.0,55.0,17.0,28.0,28.0,83.0,45.0,1.6176470588235294,0.5,0.8235294117647058,0.8235294117647058,2.4411764705882355,1.3235294117647058,1.8444444444444446
1989.0,44.0,8.0,23.0,18.0,67.0,26.0,1.2941176470588236,0.23529411764705882,0.6764705882352942,0.5294117647058824,1.9705882352941178,0.7647058823529411,2.576923076923077
1990.0,41.0,8.0,23.0,20.0,64.0,28.0,1.2058823529411764,0.23529411764705882,0.6764705882352942,0.5882352941176471,1.8823529411764706,0.8235294117647058,2.2857142857142856
1991.0,46.0,19.0,28.0,22.0,74.0,41.0,1.3529411764705883,0.5588235294117647,0.8235294117647058,0.6470588235294118,2.176470588235294,1.2058823529411764,1.8048780487804879
1992.0,35.0,32.0,24.0,29.0,59.0,61.0,0.9210526315789473,0.8421052631578947,0.631578947368421,0.7631578947368421,1.5526315789473684,1.605263157894737,0.9672131147540983
1993.0,43.0,16.0,31.0,29.0,74.0,45.0,1.2647058823529411,0.47058823529411764,0.9117647058823529,0.8529411764705882,2.176470588235294,1.3235294117647058,1.6444444444444444
1994.0,46.0,11.0,24.0,27.0,70.0,38.0,1.3142857142857143,0.3142857142857143,0.6857142857142857,0.7714285714285715,2.0,1.0857142857142856,1.8421052631578947
1995.0,32.0,19.0,23.0,22.0,55.0,41.0,0.9411764705882353,0.5588235294117647,0.6764705882352942,0.6470588235294118,1.6176470588235294,1.2058823529411764,1.3414634146341464
1996.0,35.0,20.0,31.0,26.0,66.0,46.0,1.0294117647058822,0.5882352941176471,0.9117647058823529,0.7647058823529411,1.9411764705882353,1.3529411764705883,1.434782608695652
1997.0,37.0,12.0,31.0,22.0,68.0,34.0,1.088235294117647,0.35294117647058826,0.9117647058823529,0.6470588235294118,2.0,1.0,2.0
1998.0,36.0,14.0,33.0,23.0,69.0,37.0,1.0588235294117647,0.4117647058823529,0.9705882352941176,0.6764705882352942,2.0294117647058822,1.088235294117647,1.864864864864865
1999.0,48.0,15.0,28.0,13.0,76.0,28.0,1.411764705882353,0.4411764705882353,0.8235294117647058,0.38235294117647056,2.235294117647059,0.8235294117647058,2.7142857142857144
2000.0,50.0,17.0,23.0,11.0,73.0,28.0,1.4705882352941178,0.5,0.6764705882352942,0.3235294117647059,2.1470588235294117,0.8235294117647058,2.607142857142857
